,Name,Gender,Born in,Birth,Death,Age,Movies/Series
0,Ana de Armas,F,"Havana, Cuba",30/4/1988,Alive,34.0,32
1,Amber Midthunder,F,USA,26/4/1997,Alive,25.0,31
2,Sofia Carson,F,"Fort Lauderdale, Florida, USA",10/4/1993,Alive,29.0,61
3,Nicholas Galitzine,M,"London, England, UK",29/9/1994,Alive,27.0,13
4,Tom Sturridge,M,"Lambeth, London, England, UK",21/12/1985,Alive,36.0,27
5,Leslie Grace,F,"The Bronx, New York City, New York, USA",7/1/1995,Alive,27.0,11
6,Melissa Barrera,F,"Monterrey, Nuevo León, Mexico",4/7/1990,Alive,32.0,20
7,Millie Bobby Brown,F,"Málaga, Andalucía, Spain",19/2/2004,Alive,18.0,17
8,Joey King,F,"Los Angeles, California, USA",30/7/1999,Alive,23.0,72
9,Jamie Campbell Bower,M,"London, England, UK",22/11/1988,Alive,33.0,25
10,Zoey Deutch,F,"Los Angeles, California, USA",10/11/1994,Alive,27.0,36
11,Nichelle Nichols,F,"Robbins, Illinois, USA",28/12/1932,30/7/2022,89.0,69
12,Jessica Henwick,F,"Surrey North Western, Surrey, England, UK",30/8/1992,Alive,29.0,43
13,Ryan Gosling,M,"London, Ontario, Canada",12/11/1980,Alive,41.0,48
14,Joseph Quinn,M,"London, England, UK",15/5/1993,Alive,29.0,17
15,Paul Walter Hauser,M,"Grand Rapids, Michigan, USA",15/10/1986,Alive,35.0,48
16,Anne Heche,F,"Aurora, Ohio, USA",25/5/1969,Alive,53.0,92
17,Austin Butler,M,"Anaheim, California, USA",17/8/1991,Alive,30.0,36
18,Alexandra Breckenridge,F,"Bridgeport, Connecticut, USA",15/5/1982,Alive,40.0,60
19,Brad Pitt,M,"Shawnee, Oklahoma, USA",18/12/1963,Alive,58.0,84
20,Karl Urban,M,"Wellington, New Zealand",7/6/1972,Alive,50.0,52
21,Jeremy Allen White,M,"Brooklyn, New York, USA",18/2/1991,Alive,31.0,26
22,Boyd Holbrook,M,"Prestonsburg, Kentucky, USA",1/9/1981,Alive,40.0,46
23,Julia Butters,F,"Los Angeles, California, USA",15/4/2009,Alive,13.0,17
24,Taron Egerton,M,"Birkenhead, Cheshire, England, UK",10/11/1989,Alive,32.0,29
25,Angourie Rice,F,Australia,1/1/2001,Alive,21.0,26
26,Erin Moriarty,F,"New York City, New York, USA",24/6/1994,Alive,28.0,28
27,Evangeline Lilly,F,"Fort Saskatchewan, Alberta, Canada",3/8/1979,Alive,43.0,24
28,Antony Starr,M,New Zealand,25/10/1975,Alive,46.0,32
29,Tom Cruise,M,"Syracuse, New York, USA",3/7/1962,Alive,60.0,50
30,Annette O'Toole,F,"Houston, Texas, USA",1/4/1952,Alive,70.0,97
31,Aaron Taylor-Johnson,M,"High Wycombe, Buckinghamshire, England, UK",13/6/1990,Alive,32.0,49
32,Chris Evans,M,"Boston, Massachusetts, USA",13/6/1981,Alive,41.0,58
33,Melanie Lynskey,F,"New Plymouth, New Zealand",16/5/1977,Alive,45.0,84
34,Abigail Spencer,F,"Gulf Breeze, Florida, USA",4/8/1981,Alive,41.0,65
35,Tatiana Maslany,F,"Regina, Saskatchewan, Canada",22/9/1985,Alive,36.0,75
36,Natalia Dyer,F,"Nashville, Tennessee, USA",13/1/1995,Alive,27.0,22
37,Taika Waititi,M,"Wellington, New Zealand",16/8/1975,Alive,46.0,44
38,Sasha Jackson,F,"Old Windsor, Berkshire, England, UK",1/8/1988,Alive,34.0,40
39,Anne Winters,F,"Dallas, Texas, USA",3/6/1994,Alive,28.0,26
40,Dane DiLiegro,M,"Lexington, Massachusetts, USA",6/8/1988,Alive,34.0,8
41,Brendan Fraser,M,"Indianapolis, Indiana, USA",3/12/1968,Alive,53.0,77
42,Bailee Madison,F,"Fort Lauderdale, Florida, USA",15/10/1999,Alive,22.0,58
43,Dacre Montgomery,M,"Perth, Australia",22/11/1994,Alive,27.0,12
44,Sadie Sink,F,"Brenham, Texas, USA",16/4/2002,Alive,20.0,15
45,Sofia Pernas,F,"Fes, Morocco",31/7/1989,Alive,33.0,18
46,Sydney Sweeney,F,"Spokane, Washington, USA",12/9/1997,Alive,24.0,50
47,Adrianne Palicki,F,"Toledo, Ohio, USA",6/5/1983,Alive,39.0,46
48,Maya Hawke,F,"New York City, New York, USA",8/7/1998,Alive,24.0,24
49,Pat Carroll,F,"Shreveport, Louisiana, USA",5/5/1927,30/7/2022,95.0,99
50,Gaten Matarazzo,M,"New London, Connecticut, USA",8/9/2002,Alive,19.0,10
51,Daisy Edgar-Jones,F,"Islington, London, England, UK",24/5/1998,Alive,24.0,12
52,Tuc Watkins,M,"Kansas City, Missouri, USA",2/9/1966,Alive,55.0,61
53,Florence Pugh,F,"Oxford, Oxfordshire, England, UK",3/1/1996,Alive,26.0,27
54,Dylan O'Brien,M,"New York City, New York, USA",26/8/1991,Alive,30.0,27
55,Sofia Rosinsky,F,"Los Angeles, California, USA",10/6/2006,Alive,16.0,28
56,Yvonne Strahovski,F,"Maroubra, Sydney, New South Wales, Australia",30/7/1982,Alive,40.0,39
57,Keke Palmer,F,"Harvey, Illinois, USA",26/8/1993,Alive,28.0,103
58,Jenna Coleman,F,"Blackpool, England, UK",27/4/1986,Alive,36.0,28
59,Miles Teller,M,"Downingtown, Pennsylvania, USA",20/2/1987,Alive,35.0,35
60,Halston Sage,F,"Los Angeles, California, USA",10/5/1993,Alive,29.0,26
61,Jennifer Coolidge,F,"Boston, Massachusetts, USA",28/8/1961,Alive,60.0,125
62,Zazie Beetz,F,"Mitte, Berlin, Germany",1/6/1991,Alive,31.0,39
63,Alexis Knapp,F,"Allegheny, Pennsylvania, USA",31/7/1989,Alive,33.0,29
64,Winona Ryder,F,"Winona, Minnesota, USA",29/10/1971,Alive,50.0,68
65,Leonardo DiCaprio,M,"Hollywood, Los Angeles, California, USA",11/11/1974,Alive,47.0,46
66,Jordan Peele,M,"New York City, New York, USA",21/2/1979,Alive,43.0,54
67,Nicolas Cage,M,"Long Beach, California, USA",7/1/1964,Alive,58.0,108
68,Adria Arjona,F,Puerto Rico,25/4/1992,Alive,30.0,26
69,Cillian Murphy,M,"Douglas, Cork, Ireland",25/5/1976,Alive,46.0,59
70,Mia Goth,F,"Southwark, London, England, UK",25/10/1993,Alive,28.0,18
71,Nadia Bjorlin,F,"Newport, Rhode Island, USA",2/8/1980,Alive,42.0,33
72,Sepideh Moafi,F,"Regensburg, Bavaria, West Germany",18/9/1985,Alive,36.0,22
73,Isabelle Fuhrman,F,"Washington, District of Columbia, USA",25/2/1997,Alive,25.0,43
74,Elliot Page,M,"Halifax, Nova Scotia, Canada",21/2/1987,Alive,35.0,52
75,Tom Hardy,M,"Hammersmith, London, England, UK",15/9/1977,Alive,44.0,61
76,Britt Lower,F,"Illinois, USA",2/8/1985,Alive,37.0,49
77,Shantel VanSanten,F,"Luverne, Minnesota, USA",25/7/1985,Alive,37.0,30
78,Giorgia Whigham,F,"New York City, New York, USA",19/8/1997,Alive,24.0,19
79,Alicia Vikander,F,"Gothenburg, Västra Götalands län, Sweden",3/10/1988,Alive,33.0,48
80,Natasia Demetriou,F,,,,,31
81,Jennifer Connelly,F,"Catskill Mountains, New York, USA",12/12/1970,Alive,51.0,53
82,Mason Alexander Park,M,"Fairfax, Virginia, USA",12/7/1995,Alive,27.0,12
83,Chris Pratt,M,"Virginia, Minnesota, USA",21/6/1979,Alive,43.0,67
84,Martin Henderson,M,"Auckland, New Zealand",8/10/1974,Alive,47.0,46
85,Neil Patrick Harris,M,"Albuquerque, New Mexico, USA",15/6/1973,Alive,49.0,114
86,Mckenna Grace,F,"Grapevine, Texas, USA",25/6/2006,Alive,16.0,65
87,Marcia Gay Harden,F,"La Jolla, California, USA",14/8/1959,Alive,62.0,121
88,Jake Gyllenhaal,M,"Los Angeles, California, USA",19/12/1980,Alive,41.0,62
89,Taylor Kitsch,M,"Kelowna, British Columbia, Canada",8/4/1981,Alive,41.0,29
90,Margot Robbie,F,"Dalby, Queensland, Australia",2/7/1990,Alive,32.0,40
91,Alexander Skarsgård,M,"Stockholm, Stockholms län, Sweden",25/8/1976,Alive,45.0,70
92,Tom Holland,M,"Kingston upon Thames, England, UK",1/6/1996,Alive,26.0,37
93,Anya Taylor-Joy,F,"Miami, Florida, USA",16/4/1996,Alive,26.0,32
94,Rhea Seehorn,F,"Norfolk, Virginia, USA",12/5/1972,Alive,50.0,47
95,Devanny Pinn,F,"Houston, Texas, USA",1/8/1989,Alive,33.0,80
96,Alexandra Daddario,F,"New York City, New York, USA",16/3/1986,Alive,36.0,62
97,Thomas Brodie-Sangster,M,"London, England, UK",16/5/1990,Alive,32.0,56
98,Bella Thorne,F,"Pembroke Pines, Florida, USA",8/10/1997,Alive,24.0,120
99,Tom Hanks,M,"Concord, California, USA",9/7/1956,Alive,66.0,93
100,Ryan Reynolds,M,"Vancouver, British Columbia, Canada",23/10/1976,Alive,45.0,119
101,Tisha Campbell,F,"Oklahoma City, Oklahoma, USA",13/10/1968,Alive,53.0,71
102,Sandra Bullock,F,"Arlington, Virginia, USA",26/7/1964,Alive,58.0,59
103,Jack Quaid,M,"Los Angeles, California, USA",24/4/1992,Alive,30.0,49
104,Michael Biehn,M,"Anniston, Alabama, USA",31/7/1956,Alive,66.0,110
105,Christian Bale,M,"Haverfordwest, Pembrokeshire, Wales, UK",30/1/1974,Alive,48.0,55
106,Cosmo Jarvis,M,"Ridgewood, New Jersey, USA",__/9/1989,Alive,32.0,26
107,Genesis Rodriguez,F,"Miami, Florida, USA",29/7/1987,Alive,35.0,31
108,Jessica Szohr,F,"Milwaukee, Wisconsin, USA",31/3/1985,Alive,37.0,42
109,Johnny Depp,M,"Owensboro, Kentucky, USA",9/6/1963,Alive,59.0,102
110,Mary-Louise Parker,F,"Fort Jackson, South Carolina, USA",2/8/1964,Alive,58.0,60
111,April Bowlby,F,"Vallejo, California, USA",30/7/1980,Alive,42.0,33
112,Finn Wolfhard,M,"Vancouver, British Columbia, Canada",23/12/2002,Alive,19.0,42
113,David Harbour,M,"New York, USA",10/4/1975,Alive,47.0,67
114,Bryce Dallas Howard,F,"Los Angeles, California, USA",2/3/1981,Alive,41.0,43
115,Sylvester Stallone,M,"New York City, New York, USA",6/7/1946,Alive,76.0,92
116,Gugu Mbatha-Raw,F,"Oxford, Oxfordshire, England, UK",21/4/1983,Alive,39.0,53
117,Jensen Ackles,M,"Dallas, Texas, USA",1/3/1978,Alive,44.0,33
118,Keanu Reeves,M,"Beirut, Lebanon",2/9/1964,Alive,57.0,108
119,Joe Keery,M,"Newburyport, Massachusetts, USA",24/4/1992,Alive,30.0,18
120,Billy Bob Thornton,M,"Hot Springs, Arkansas, USA",4/8/1955,Alive,67.0,100
121,Aidan Gallagher,M,"Los Angeles, California, USA",18/9/2003,Alive,18.0,8
122,Natalie Portman,F,"Jerusalem, Israel",9/6/1981,Alive,41.0,70
123,Evan Rachel Wood,F,"Raleigh, North Carolina, USA",7/9/1987,Alive,34.0,63
124,Amber Heard,F,"Austin, Texas, USA",22/4/1986,Alive,36.0,50
125,Marilyn Monroe,F,"Los Angeles, California, USA",1/6/1926,5/8/1962,36.0,33
126,Ethan Hawke,M,"Austin, Texas, USA",6/11/1970,Alive,51.0,96
127,Juno Temple,F,"London, England, UK",21/7/1989,Alive,33.0,62
128,Arnold Schwarzenegger,M,"Thal, Styria, Austria",30/7/1947,Alive,75.0,83
129,Dominique McElligott,F,"Dublin, Ireland",3/5/1986,Alive,36.0,22
130,Jacinda Barrett,F,"Brisbane, Queensland, Australia",2/8/1972,Alive,50.0,35
131,Bob Odenkirk,M,"Naperville, Illinois, USA",22/10/1962,Alive,59.0,123
132,Diego Luna,M,"Mexico City, Distrito Federal, Mexico",29/12/1979,Alive,42.0,68
133,Regé-Jean Page,M,"London, England",24/1/1988,Alive,34.0,21
134,Chris Hemsworth,M,"Melbourne, Victoria, Australia",11/8/1983,Alive,39.0,47
135,Jaime Pressly,F,"Kinston, North Carolina, USA",30/7/1977,Alive,45.0,72
136,Dakota Beavers,M,,,,,1
137,Bryan Cranston,M,"Hollywood, California, USA",7/3/1956,Alive,66.0,166
138,Genevieve O'Reilly,F,"Dublin, Ireland",6/1/1977,Alive,45.0,45
139,Ebon Moss-Bachrach,M,"New York, New York, USA",19/3/1977,Alive,45.0,61
140,Jon Bernthal,M,"Washington, District of Columbia, USA",20/9/1976,Alive,45.0,72
141,Clint Eastwood,M,"San Francisco, California, USA",31/5/1930,Alive,92.0,72
142,Olivia Wilde,F,"New York City, New York, USA",10/3/1984,Alive,38.0,65
143,Henry Cavill,M,"Jersey, Channel Islands",5/5/1983,Alive,39.0,31
144,Dakota Johnson,F,"Austin, Texas, USA",4/10/1989,Alive,32.0,39
145,Alia Shawkat,F,"Riverside, California, USA",18/4/1989,Alive,33.0,94
146,Lily James,F,"Esher, Surrey, England, UK",5/4/1989,Alive,33.0,34
147,Quentin Tarantino,M,"Knoxville, Tennessee, USA",27/3/1963,Alive,59.0,39
148,Gilles Marini,M,"Grasse, Alpes-Maritimes, France",26/1/1976,Alive,46.0,52
149,Aaron Paul,M,"Emmett, Idaho, USA",27/8/1979,Alive,42.0,81
150,Hannah Simone,F,"London, England, UK",3/8/1980,Alive,42.0,33
151,Ezra Miller,M,"Hoboken, New Jersey, USA",30/9/1992,Alive,29.0,35
152,Cara Delevingne,F,"London, England, UK",12/8/1992,Alive,29.0,31
153,Selena Gomez,F,"Grand Prairie, Texas, USA",22/7/1992,Alive,30.0,117
154,Rebecca Ferguson,F,Sweden,19/10/1983,Alive,38.0,34
155,Dichen Lachman,F,"Kathmandu, Nepal",22/2/1982,Alive,40.0,40
156,Noah Schnapp,M,"New York City, New York, USA",3/10/2004,Alive,17.0,13
157,Jason Momoa,M,"Honolulu, Hawaii, USA",1/8/1979,Alive,43.0,41
158,Kelly Reilly,F,"Surrey, England, UK",18/7/1977,Alive,45.0,54
159,Christine Taylor,F,"Allentown, Pennsylvania, USA",30/7/1971,Alive,51.0,68
160,Cristin Milioti,F,"Cherry Hill, New Jersey, USA",16/8/1985,Alive,36.0,36
161,Jen Lilley,F,"Roanoke, Virginia, USA",4/8/1984,Alive,38.0,63
162,Ben Affleck,M,"Berkeley, California, USA",15/8/1972,Alive,49.0,82
163,Elizabeth Olsen,F,"Los Angeles, California, USA",16/2/1989,Alive,33.0,26
164,Zendaya,F,"Oakland, California, USA",1/9/1996,Alive,25.0,50
165,Blake Lively,F,"Los Angeles, California, USA",25/8/1987,Alive,34.0,28
166,Michelle Yeoh,F,"Ipoh, Malaysia",6/8/1962,Alive,60.0,68
167,Tim Matheson,M,"Glendale, California, USA",31/12/1947,Alive,74.0,191
168,Martin Scorsese,M,"Queens, New York City, New York, USA",17/11/1942,Alive,79.0,34
169,Karen Fukuhara,F,"Los Angeles, California, USA",10/2/1992,Alive,30.0,14
170,Cole Hauser,M,"Santa Barbara, California, USA",22/3/1975,Alive,47.0,53
171,Ron Howard,M,"Duncan, Oklahoma, USA",1/3/1954,Alive,68.0,88
172,Peter Macon,M,,,,,35
173,Ray Liotta,M,"Newark, New Jersey, USA",18/12/1954,26/5/2022,67.0,126
174,Tom Hopper,M,"Coalville, Leicestershire, England, UK",28/1/1985,Alive,37.0,27
175,Bruce Willis,M,"Idar-Oberstein, West Germany",19/3/1955,Alive,67.0,146
176,Scarlett Johansson,F,"Manhattan, New York City, New York, USA",22/11/1984,Alive,37.0,76
177,Rachel McAdams,F,"London, Ontario, Canada",17/11/1978,Alive,43.0,41
178,Dwayne Johnson,M,"Hayward, California, USA",2/5/1972,Alive,50.0,101
179,Olivia Cooke,F,"Oldham, Greater Manchester, England, UK",27/12/1993,Alive,28.0,26
180,Robert Sheehan,M,"Portlaoise, County Laois, Ireland",7/1/1988,Alive,34.0,57
181,Eiza González,F,"Mexico City, Distrito Federal, Mexico",30/1/1990,Alive,32.0,27
182,Meghan Markle,F,"Los Angeles, California, USA",4/8/1981,Alive,41.0,31
183,Jessica Chastain,F,"Sacramento, California, USA",24/3/1977,Alive,45.0,60
184,Gwendoline Christie,F,"Worthing, Sussex, England, UK",28/10/1978,Alive,43.0,28
185,Tessa Thompson,F,"Los Angeles, California, USA",3/10/1983,Alive,38.0,66
186,Tia Carrere,F,"Honolulu, Hawaii, USA",2/1/1967,Alive,55.0,106
187,Emilia Clarke,F,"London, England, UK",23/10/1986,Alive,35.0,24
188,Gemma Arterton,F,"Gravesend, Kent, England, UK",2/2/1986,Alive,36.0,66
189,Adam Sandler,M,"Brooklyn, New York City, New York, USA",9/9/1966,Alive,55.0,83
190,Olivia Holt,F,"Germantown, Tennessee, USA",5/8/1997,Alive,25.0,26
191,Camryn Jones,F,,,,,14
192,Dove Cameron,F,"Bainbridge Island, Washington, USA",15/1/1996,Alive,26.0,73
193,Colin Farrell,M,"Castleknock, Dublin, Ireland",31/5/1976,Alive,46.0,64
194,Hannah Waddingham,F,"London, England, UK",28/7/1974,Alive,48.0,36
195,Andrew Garfield,M,"Los Angeles, California, USA",20/8/1983,Alive,38.0,34
196,Will Smith,M,"Philadelphia, Pennsylvania, USA",25/9/1968,Alive,53.0,73
197,Charlize Theron,F,"Benoni, Transvaal, South Africa",7/8/1975,Alive,47.0,70
198,Ella Balinska,F,"London, England, UK",4/10/1996,Alive,25.0,15
199,Amy Brenneman,F,"New London, Connecticut, USA",22/6/1964,Alive,58.0,51
200,Kevin Sussman,M,"Staten Island, New York City, New York, USA",4/12/1970,Alive,51.0,44
201,Lisa Ann Walter,F,"Silver Spring, Maryland, USA",3/8/1963,Alive,59.0,56
202,Val Kilmer,M,"Los Angeles, California, USA",31/12/1959,Alive,62.0,105
203,Cara Buono,F,"The Bronx, New York City, New York, USA",1/3/1971,Alive,51.0,77
204,Dylan Sprouse,M,"Arezzo, Tuscany, Italy",4/8/1992,Alive,30.0,49
205,Jonathan Banks,M,"Washington, District of Columbia, USA",31/1/1947,Alive,75.0,179
206,Morena Baccarin,F,"Rio de Janeiro, Rio de Janeiro, Brazil",2/6/1979,Alive,43.0,59
207,Denise Gough,F,"Ennis, County Clare, Ireland",28/2/1980,Alive,42.0,61
208,Kaley Cuoco,F,"Camarillo, California, USA",30/11/1985,Alive,36.0,70
209,Katheryn Winnick,F,"Toronto, Ontario, Canada",17/12/1977,Alive,44.0,66
210,Tom Wlaschiha,M,"Dohna, German Democratic Republic",20/6/1973,Alive,49.0,78
211,Paul Newman,M,"Shaker Heights, Ohio, USA",26/1/1925,26/9/2008,83.0,85
212,Christina Cox,F,"Toronto, Ontario, Canada",31/7/1971,Alive,51.0,85
213,Riley Keough,F,"Santa Monica, California, USA",29/5/1989,Alive,33.0,38
214,Kelly McGillis,F,"Newport Beach, California, USA",9/7/1957,Alive,65.0,54
215,Devin Ratray,M,"New York City, New York, USA",11/1/1977,Alive,45.0,66
216,Jodie Comer,F,"Liverpool, Merseyside, England, UK",11/3/1993,Alive,29.0,33
217,Adil El Arbi,M,"Edegem, Flanders, Belgium",30/6/1988,Alive,34.0,6
218,Ellen Barkin,F,"The Bronx, New York City, New York, USA",16/4/1954,Alive,68.0,70
219,Isabel May,F,"Santa Monica, California, USA",21/11/2000,Alive,21.0,9
220,Harrison Ford,M,"Chicago, Illinois, USA",13/7/1942,Alive,80.0,85
221,Jared Leto,M,"Bossier City, Louisiana, USA",26/12/1971,Alive,50.0,61
222,Annabelle Wallis,F,"Oxford, Oxfordshire, England, UK",5/9/1984,Alive,37.0,37
223,Glen Powell,M,"Austin, Texas, USA",21/10/1988,Alive,33.0,51
224,Logan Lerman,M,"Beverly Hills, California, USA",19/1/1992,Alive,30.0,31
225,Greta Gerwig,F,"Sacramento, California, USA",4/8/1983,Alive,39.0,41
226,Joely Richardson,F,"Marylebone, London, England, UK",9/1/1965,Alive,57.0,77
227,Julia Garner,F,"Bronx, New York City, New York, USA",1/2/1994,Alive,28.0,34
228,Wagner Moura,M,"Rodelas, Bahia, Brazil",27/6/1976,Alive,46.0,48
229,Amy Adams,F,"Vicenza, Veneto, Italy",20/8/1974,Alive,47.0,66
230,Karen Gillan,F,"Inverness, Scotland, UK",28/11/1987,Alive,34.0,71
231,Zachary Levi,M,"Lake Charles, Louisiana, USA",29/9/1980,Alive,41.0,76
232,Mary Elizabeth Winstead,F,"Rocky Mount, North Carolina, USA",28/11/1984,Alive,37.0,57
233,Cole Sprouse,M,"Arezzo, Tuscany, Italy",4/8/1992,Alive,30.0,41
234,Viggo Mortensen,M,"Manhattan, New York City, New York, USA",20/10/1958,Alive,63.0,64
235,Matthew McConaughey,M,"Uvalde, Texas, USA",4/11/1969,Alive,52.0,75
236,Aya Cash,F,"San Francisco, California, USA",13/7/1982,Alive,40.0,50
237,Jennifer Lawrence,F,"Louisville, Kentucky, USA",15/8/1990,Alive,31.0,35
238,Sam Worthington,M,"Godalming, Surrey, England, UK",2/8/1976,Alive,46.0,63
239,Matthew Modine,M,"Loma Linda, California, USA",22/3/1959,Alive,63.0,117
240,Kirby Howell-Baptiste,F,,,,,60
241,Nathalie Emmanuel,F,"Southend-on-Sea, Essex, England, UK",2/3/1989,Alive,33.0,31
242,Thomasin McKenzie,F,"Wellington, New Zealand",26/7/2000,Alive,22.0,27
243,Oscar Isaac,M,"Guatemala City, Guatemala",9/3/1979,Alive,43.0,62
